Date and Time,Date,Time,Energy (MeV),Integrated Power (kWhr from Acc),Pressure,Radium target mass (g),Extraction
7/28/2022 0:00,7/28/2022,0:00,13.6,15.3,0,0.0342,NO
7/29/2022 0:00,7/29/2022,0:00,13.6,15.3,0,0.0342,NO
7/30/2022 0:00,7/30/2022,0:00,13.6,15.3,0,0.0342,NO
7/31/2022 0:00,7/31/2022,0:00,13.6,15.3,0,0.0342,NO
8/1/2022 0:00,8/1/2022,0:00,13.6,15.3,0,0.0342,NO
8/2/2022 0:00,8/2/2022,0:00,13.6,15.3,0,0.0342,NO
8/3/2022 0:00,8/3/2022,0:00,13.6,15.3,0,0.0342,NO
8/4/2022 0:00,8/4/2022,0:00,13.6,15.3,0,0.0342,NO
8/5/2022 0:00,8/5/2022,0:00,13.6,15.3,0,0.0342,NO
8/6/2022 0:00,8/6/2022,0:00,13.6,15.3,0,0.0342,NO
8/7/2022 0:00,8/7/2022,0:00,13.6,15.3,0,0.0342,NO
8/8/2022 0:00,8/8/2022,0:00,13.6,15.3,0,0.0342,NO
8/9/2022 0:00,8/9/2022,0:00,13.6,15.3,0,0.0342,NO
8/10/2022 0:00,8/10/2022,0:00,13.6,15.3,0,0.0342,NO
8/11/2022 0:00,8/11/2022,0:00,13.6,15.3,0,0.0342,NO
8/12/2022 0:00,8/12/2022,0:00,13.6,15.3,0,0.0342,NO
8/13/2022 0:00,8/13/2022,0:00,13.6,15.3,0,0.0342,NO
8/14/2022 0:00,8/14/2022,0:00,13.6,15.3,0,0.0342,NO
8/15/2022 0:00,8/15/2022,0:00,13.6,15.3,0,0.0342,NO
8/16/2022 0:00,8/16/2022,0:00,13.6,15.3,0,0.0342,NO
8/17/2022 0:00,8/17/2022,0:00,13.6,15.3,0,0.0342,NO
8/18/2022 0:00,8/18/2022,0:00,13.6,15.3,0,0.0342,NO
8/19/2022 0:00,8/19/2022,0:00,13.6,15.3,0,0.0342,NO
8/20/2022 0:00,8/20/2022,0:00,13.6,15.3,0,0.0342,NO
