Date and Time,Date,Time,Energy (MeV),Accumulated Dose,Pressure,Radium target mass (g),Extraction
8/3/2022 12:50,8/3/2022,12:50,11.7,3.55,0,0.0339,NO
8/3/2022 15:11,8/3/2022,15:11,12.2,2.56,5.2,0.0339,NO
8/3/2022 17:53,8/3/2022,17:53,13.2,6.61,6,0.0339,NO
8/3/2022 19:53,8/3/2022,19:53,13.2,1.66,0,0.0339,NO
8/4/2022 17:58,8/4/2022,17:58,13.2,5.53,6.2,0.0339,NO
8/4/2022 20:01,8/4/2022,20:01,13.2,7.47,6.2,0.0339,NO
8/4/2022 22:04,8/4/2022,22:04,13.2,8.49,0,0.0339,NO
8/5/2022 0:06,8/5/2022,0:06,13.2,8.27,0,0.0339,NO
8/5/2022 2:09,8/5/2022,2:09,13.2,11.74,0,0.0339,NO
8/5/2022 4:09,8/5/2022,4:09,13.2,14.06,6.2,0.0339,NO
8/5/2022 6:16,8/5/2022,6:16,13.2,14.77,0,0.0339,NO
8/5/2022 8:17,8/5/2022,8:17,13.2,9.81,0,0.0339,NO
8/5/2022 9:11,8/5/2022,9:11,13.2,1.52,0,0.0339,NO
8/5/2022 10:55,8/5/2022,10:55,13.2,11.82,6.2,0.0339,NO
8/5/2022 13:02,8/5/2022,13:02,13.2,30.59,0,0.0339,NO
8/5/2022 13:46,8/5/2022,13:46,13.2,12.37,0,0.0339,NO
8/5/2022 16:27,8/5/2022,16:27,13.2,28.15,0,0.0339,NO
8/5/2022 18:53,8/5/2022,18:53,13.2,41.92,6.4,0.0339,NO
8/5/2022 21:41,8/5/2022,21:41,13.2,49.83,0,0.0339,NO
8/5/2022 23:41,8/5/2022,23:41,13.2,35.3,0,0.0339,NO
8/6/2022 1:43,8/6/2022,1:43,13.2,36.54,0,0.0339,NO
8/6/2022 3:41,8/6/2022,3:41,13.2,34.6,0,0.0339,NO
8/6/2022 5:41,8/6/2022,5:41,13.2,34.63,7,0.0339,NO
8/6/2022 7:43,8/6/2022,7:43,13.2,35.2,7,0.0339,NO
8/6/2022 9:24,8/6/2022,9:24,13.2,24.45,0,0.0339,NO
8/6/2022 12:32,8/6/2022,12:32,13.2,32.92,0,0.0339,NO
8/6/2022 14:30,8/6/2022,14:30,13.2,33.16,7,0.0339,NO
8/6/2022 16:40,8/6/2022,16:40,13.2,37.04,0,0.0339,NO
8/6/2022 18:40,8/6/2022,18:40,13.2,31.53,7,0.0339,NO
8/6/2022 21:21,8/6/2022,21:21,13.2,46.35,0,0.0339,NO
8/6/2022 23:28,8/6/2022,23:28,13.2,37.46,0,0.0339,NO
8/7/2022 1:30,8/7/2022,1:30,13.2,36.91,7,0.0339,NO
8/7/2022 3:30,8/7/2022,3:30,13.2,36.85,0,0.0339,NO
8/7/2022 6:10,8/7/2022,6:10,13.2,43.92,7,0.0339,NO
8/7/2022 8:00,8/7/2022,8:00,13.2,33.02,0,0.0339,NO
8/7/2022 10:23,8/7/2022,10:23,13.2,40.49,0,0.0339,NO
8/7/2022 12:25,8/7/2022,12:25,13.2,34.19,0,0.0339,NO
8/7/2022 14:48,8/7/2022,14:48,13.2,40.46,7.5,0.0339,NO
8/7/2022 16:56,8/7/2022,16:56,13.2,36.97,0,0.0339,NO
8/7/2022 19:00,8/7/2022,19:00,13.2,35.26,0,0.0339,NO
8/7/2022 21:01,8/7/2022,21:01,13.2,34.71,0,0.0339,NO
8/7/2022 23:00,8/7/2022,23:00,13.2,34.06,0,0.0339,NO
8/8/2022 1:04,8/8/2022,1:04,13.2,35.15,7.5,0.0339,NO
8/8/2022 3:00,8/8/2022,3:00,13.2,32.47,0,0.0339,NO
8/8/2022 5:00,8/8/2022,5:00,13.2,34.7,0,0.0339,NO
8/8/2022 7:00,8/8/2022,7:00,13.2,33.34,7.8,0.0339,NO
8/8/2022 9:04,8/8/2022,9:04,13.2,35.39,0,0.0339,NO
8/8/2022 11:03,8/8/2022,11:03,13.2,30.16,0,0.0339,NO
8/8/2022 13:00,8/8/2022,13:00,13.2,32.83,0,0.0339,NO
8/8/2022 14:50,8/8/2022,14:50,13.2,32.52,0,0.0339,NO
8/8/2022 17:00,8/8/2022,17:00,13.2,45.94,0,0.0339,NO
8/8/2022 19:00,8/8/2022,19:00,13.2,40.04,0,0.0339,NO
